Nobs,RMSE_A_CFD,RMSE_A_DeepONet,RMSE_M_CFD,RMSE_M_DeepONet
20,0.031116806,0.025965106,0.046246267046940244,0.02003865001853199
40,0.029439785,0.0194315,0.011832236,0.02140346
80,0.0112387035,0.011300051,0.0097669475,0.02107887
100,0.008592505,0.009775932,0.007097159794701267,0.016768320556818792
